/System/Library/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/changsheng/PycharmProjects/IdiomUsage/FindingOptimalTopic.py
2 -34845.136167
3 -34416.4097492
4 -34206.9689563
5 -33992.2300136
6 -33952.1948416
7 -33714.9201321
8 -33679.4059586
9 -33602.2157998
10 -33757.9435881
11 -33605.4909039
12 -33664.9129064
13 -33598.7276427
14 -33694.9612557
15 -33666.3328148
16 -33868.1273831
17 -33725.1189688
18 -33797.6049531
19 -33898.7094055
20 -33772.5662737
21 -33982.2663168
22 -34095.0128728
23 -33906.6897228
24 -34114.9171853
25 -34302.5380507
26 -34113.8637301
27 -34346.7434103
28 -34370.2846343
29 -34413.8123931
30 -34611.3164942
31 -34611.8821525
32 -34491.909563
33 -34710.6482331
34 -34786.9718024
35 -34843.7129479
36 -35032.1266887
37 -34890.9360181
38 -34963.9341466
39 -35161.0423632
40 -35223.0518874
41 -35179.6192625
42 -35510.2642699
43 -35513.7045257
44 -35571.6503982
45 -35458.0143524
46 -35645.7480739
47 -35774.1438216
48 -35765.9599835
49 -35810.4847863
2 -21379.8594349
3 -21075.5196282
4 -20926.7200512
5 -20692.403362
6 -20526.0242974
7 -20485.2421409
8 -20540.6396594
9 -20459.911401
10 -20450.6281411
11 -20426.8936546
12 -20470.682964
13 -20444.1386524
14 -20478.5050078
15 -20491.4497864
16 -20545.5082993
17 -20511.4070266
18 -20624.281405
19 -20567.9930524
20 -20863.9794541
21 -20904.789888
22 -20746.9025847
23 -20747.7003266
24 -20948.0850793
25 -20812.4435422
26 -20923.7879782
27 -20919.0847184
28 -21039.4712791
29 -20928.4609621
30 -21162.3136475
31 -20968.1373322
32 -21136.4793761
33 -21203.2080978
34 -21214.9842131
35 -21345.2346459
36 -21242.7267656
37 -21380.4279457
38 -21379.4653387
39 -21454.0425062
40 -21554.096835
41 -21606.7027636
42 -21641.9416003
43 -21455.0326502
44 -21675.7561168
45 -21754.7389139
46 -21833.1292049
47 -21856.6641089
48 -21850.9007067
49 -21767.9423115
